learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,true changes,delay detection (average),delay true detection (average),MTFA (average),MDR,true changes detected,input values,model training instances,model serialized size (bytes),Change detected,Warning detected,tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
2000.0,0.106889427,1.14000771641545E-8,1000.0,0.0,0.0,0.0,?,?,?,?,0.0,1.0,617.0,4560.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.233291955,2.524883769629523E-8,2000.0,3.0,0.0,0.0,?,0.0,215.66666666666666,?,0.0,1.0,300.0,4560.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.303373505,3.2833185874556915E-8,3000.0,7.0,0.0,0.0,?,0.0,258.42857142857144,?,0.0,1.0,138.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
5000.0,0.36325268,3.926582745510257E-8,4000.0,11.0,0.0,0.0,?,0.0,264.09090909090907,?,0.0,0.0,42.0,4536.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
6000.0,0.417776788,4.515230372227314E-8,5000.0,13.0,0.0,0.0,?,0.0,295.2307692307692,?,0.0,1.0,109.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
7000.0,0.481451003,5.231839660127751E-8,6000.0,15.0,0.0,0.0,?,0.0,285.8,?,0.0,1.0,660.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
8000.0,0.526092148,5.719250070873855E-8,7000.0,20.0,0.0,0.0,?,0.0,285.05,?,0.0,1.0,246.0,4560.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9000.0,0.549090259,5.973270618152701E-8,8000.0,22.0,0.0,0.0,?,0.0,297.54545454545456,?,0.0,0.0,401.0,4560.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.574233949,6.244672328122787E-8,9000.0,25.0,0.0,0.0,?,0.0,313.64,?,0.0,0.0,106.0,4552.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
11000.0,0.598607177,6.507808092171119E-8,10000.0,29.0,0.0,0.0,?,0.0,304.7586206896552,?,0.0,0.0,109.0,4560.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
